Date,BARCENISIO,COAZZE,NIQUIDETTO,PRAROTTO,VAL CLAREA
01/01/2002,-5.5,-3.2,-5.2,-5.2,-4.5
02/01/2002,2,0.4,0.2,0.3,-2.8
03/01/2002,-1.5,-1.5,-2,-1.8,-3
04/01/2002,-5.9,-4.2,-5.6,-5.8,-5.1
05/01/2002,1.9,1.5,1.6,1.6,-1.3
06/01/2002,6.1,6.2,5.6,5.5,3
07/01/2002,1.1,2,1.5,0.9,1.4
08/01/2002,-0.7,1.5,-0.4,-0.5,-0.6
09/01/2002,1.8,3.2,2,2,0.4
10/01/2002,2,4,2.3,1.8,0.7
11/01/2002,1.3,2.6,1.2,1.2,0.5
12/01/2002,2.6,3.6,2.2,2.6,0.8
13/01/2002,2.8,1.2,0.7,1,0.4
14/01/2002,-4.4,-2.6,-3.7,-4,-3.1
15/01/2002,-1.5,-3,-1.9,-2.1,-3.6
16/01/2002,-2.1,-2,-2.4,-2.2,-2.2
17/01/2002,-1.5,0.1,-1.5,-1.2,-1.5
18/01/2002,-0.5,0,-0.7,-0.5,-1.9
19/01/2002,1.7,0.6,-0.1,0.3,0.3
20/01/2002,3.9,3.5,2.5,2.8,3
21/01/2002,7.8,4.4,4.8,5.7,4
22/01/2002,-0.8,1,-0.4,-0.3,0.9
23/01/2002,-1.6,0.3,-0.9,-1.1,0.2
24/01/2002,-0.3,1.6,-0.3,-0.5,1.4
25/01/2002,3.8,6.5,4.6,4.5,4.6
26/01/2002,7.2,4.8,3.8,4.7,3.7
27/01/2002,8.2,5.2,4.9,5.8,9.5
28/01/2002,10,13.2,12.3,11,11.9
29/01/2002,10.4,10.6,9.4,9.7,7.7
30/01/2002,7.6,6.1,5.8,5.8,5
31/01/2002,0.2,2.4,1,0.5,2.2
01/02/2002,5.2,4.3,4,4.2,2.7
02/02/2002,4.9,6.3,5.2,5.1,4.3
03/02/2002,3.8,6,4.2,4.1,4.3
04/02/2002,3.2,4.3,2.9,2.8,3.3
05/02/2002,1.3,3,1.9,1.5,2.6
06/02/2002,-0.9,-0.1,-1.2,-1.1,0.4
07/02/2002,0.8,2.9,1.2,1.4,1.6
08/02/2002,6,5.8,4.9,4.7,3.7
09/02/2002,5.6,5.4,5.1,5,4.8
10/02/2002,3.9,6.9,4.7,4.3,7.7
11/02/2002,6.5,6.2,4.7,5.1,6.4
12/02/2002,10.2,6.9,7.4,8.4,7.1
13/02/2002,8.2,5.7,5.3,6.2,5.5
14/02/2002,-0.6,1.2,0,-0.3,1.4
15/02/2002,-2.8,-0.8,-1.8,-2.2,-0.3
16/02/2002,-3.5,-1.2,-2.6,-2.9,-0.6
17/02/2002,-1.9,1.1,-0.9,-1.7,1.4
18/02/2002,0.2,3.4,1.9,0,2.9
19/02/2002,0.5,4.6,2.8,0.8,3.9
20/02/2002,2,4.3,2.6,2.3,5.9
21/02/2002,-1.6,2.6,-0.1,-0.4,2.4
22/02/2002,0.6,0.7,-0.8,-0.2,0.9
23/02/2002,3.6,5.3,5.1,3.5,7
24/02/2002,0.1,4,1.4,0.6,4.6
25/02/2002,3.9,2.6,1.3,1.7,3.7
26/02/2002,4,3.1,1.7,1.4,3.4
27/02/2002,5.6,3.1,1.9,1.8,3.7
28/02/2002,3.1,6.6,3.7,3.8,5.9
01/03/2002,0.6,2.8,1.2,0.9,2.3
02/03/2002,0.3,2.5,1,0.7,2.4
03/03/2002,0.5,3.5,1.7,1.6,4.1
04/03/2002,2.5,4.4,2.7,2.4,3.7
05/03/2002,0.3,2.8,1.6,0.8,2.9
06/03/2002,1.2,2.9,1.4,1.3,3.1
07/03/2002,5.7,7.4,6.3,6.2,6.2
08/03/2002,7.3,9,7.6,7.6,7.9
09/03/2002,5.5,6.8,5.2,4.7,7.7
10/03/2002,5.8,8.5,7,6.6,9.3
11/03/2002,5.3,7.4,5.2,5.2,7.4
12/03/2002,4.8,7.3,5.5,4.7,7.3
13/03/2002,5.7,8,6,5.6,8
14/03/2002,1.2,4,1.9,1.8,4.4
15/03/2002,1.2,4.2,2.2,1.4,4.4
16/03/2002,2.9,5.5,3.6,2.8,5.4
17/03/2002,3.5,6.3,4.1,4,6.5
18/03/2002,5.2,7.2,4.8,4.8,7.4
